source_url,source_context,status,destination,final_destination,hops,internally_linked,in_sitemap,canonical_target,expected,severity,finding
https://www.expatcopilot.com/netherlands/living/transport-basics,redirect_inventory,308,https://www.expatcopilot.com/netherlands/living/getting-around/,https://www.expatcopilot.com/netherlands/living/getting-around,2,no,no,https://www.expatcopilot.com/netherlands/living/getting-around/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/living/subscriptions-and-cancellations,redirect_inventory,308,https://www.expatcopilot.com/netherlands/practical-life/subscriptions-and-cancellations-netherlands/,https://www.expatcopilot.com/netherlands/practical-life/subscriptions-and-cancellations-netherlands,2,no,no,https://www.expatcopilot.com/netherlands/practical-life/subscriptions-and-cancellations-netherlands/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/living/utilities,redirect_inventory,308,https://www.expatcopilot.com/netherlands/utilities/utilities-netherlands/,https://www.expatcopilot.com/netherlands/utilities/utilities-netherlands,2,yes,no,https://www.expatcopilot.com/netherlands/utilities/utilities-netherlands/,yes,P2,internal_link_targets_redirect_alias (config redirect)
https://www.expatcopilot.com/netherlands/living/waste-and-recycling,redirect_inventory,308,https://www.expatcopilot.com/netherlands/practical-life/waste-and-recycling-netherlands/,https://www.expatcopilot.com/netherlands/practical-life/waste-and-recycling-netherlands,2,no,no,https://www.expatcopilot.com/netherlands/practical-life/waste-and-recycling-netherlands/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/money/taxes/30-percent-ruling,redirect_inventory,308,https://www.expatcopilot.com/netherlands/taxes/30-percent-ruling/,https://www.expatcopilot.com/netherlands/taxes/30-percent-ruling,2,yes,no,https://www.expatcopilot.com/netherlands/taxes/30-percent-ruling/,yes,P2,internal_link_targets_redirect_alias (config redirect)
https://www.expatcopilot.com/netherlands/money/tools/30-ruling-calculator,redirect_inventory,308,https://www.expatcopilot.com/netherlands/taxes/tools/30-ruling-calculator/,https://www.expatcopilot.com/netherlands/taxes/tools/30-ruling-calculator,2,no,no,https://www.expatcopilot.com/netherlands/taxes/tools/30-ruling-calculator/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/money/tools/dutch-salary-net-calculator,redirect_inventory,308,https://www.expatcopilot.com/netherlands/taxes/tools/dutch-salary-net-calculator/,https://www.expatcopilot.com/netherlands/taxes/tools/dutch-salary-net-calculator,2,no,no,https://www.expatcopilot.com/netherlands/taxes/tools/dutch-salary-net-calculator/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/money/tools/double-tax-awareness-tool,redirect_inventory,308,https://www.expatcopilot.com/netherlands/taxes/tools/double-tax-awareness-tool/,https://www.expatcopilot.com/netherlands/taxes/tools/double-tax-awareness-tool,2,no,no,https://www.expatcopilot.com/netherlands/taxes/tools/double-tax-awareness-tool/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/money/cheap-cities-netherlands,redirect_inventory,308,https://www.expatcopilot.com/netherlands/cities/cheapest-cities-for-expats/,https://www.expatcopilot.com/netherlands/cities/cheapest-cities-for-expats,2,no,no,https://www.expatcopilot.com/netherlands/cities/cheapest-cities-for-expats/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/money/tools/rent-affordability-calculator,redirect_inventory,308,https://www.expatcopilot.com/netherlands/housing/tools/rent-affordability-calculator/,https://www.expatcopilot.com/netherlands/housing/tools/rent-affordability-calculator,2,no,no,https://www.expatcopilot.com/netherlands/housing/tools/rent-affordability-calculator/,yes,INFO,expected: next_config_permanent_redirect
